Wall time,Step,Value
1695149742.7824109,1133,2322.707763671875
1695149747.1115372,1134,2322.72265625
1695149751.4279962,1135,2322.861572265625
1695149764.3721619,1138,2322.794677734375
1695149768.700458,1139,2322.901123046875
1695149777.3551085,1141,2322.62451171875
1695149811.997422,1149,2322.759033203125
1695149816.3046236,1150,2322.614990234375
1695149820.6447356,1151,2322.6162109375
1695149824.96163,1152,2322.630615234375
1695149837.9433682,1155,2322.612548828125
1695149842.2806919,1156,2322.654541015625
1695149846.609847,1157,2322.708984375
1695149859.5818796,1160,2322.484130859375
1695149863.924321,1161,2322.72314453125
1695149868.2271955,1162,2322.536376953125
1695149881.2287128,1165,2322.53759765625
1695149933.0717142,1177,2322.587158203125
1695149946.000853,1180,2322.62890625
1695149954.6203468,1182,2322.616455078125
1695149958.9725323,1183,2322.5654296875
1695149967.6233118,1185,2322.618896484375
1695149971.9121456,1186,2322.631103515625
1695149984.8949628,1189,2322.565185546875
1695149997.8308392,1192,2322.541015625
1695150002.1817055,1193,2322.640380859375
1695150006.475024,1194,2322.572998046875
1695150010.7922058,1195,2322.53466796875
1695150015.0890424,1196,2322.4462890625
1695150019.4918487,1197,2322.536865234375
1695150023.8084323,1198,2322.342041015625
1695150028.1395164,1199,2322.415283203125
1695150036.7625659,1201,2322.5576171875
1695150045.3738635,1203,2322.468994140625
1695150049.7218533,1204,2322.742431640625
1695150058.3410008,1206,2322.46923828125
1695150067.0336652,1208,2322.497802734375
1695150075.6646707,1210,2322.494873046875
1695150080.037117,1211,2322.5
1695150084.362802,1212,2322.399658203125
1695150088.704827,1213,2322.67431640625
1695150093.0016184,1214,2322.563232421875
1695150097.3569932,1215,2322.42138671875
1695150114.6679914,1219,2322.562255859375
1695150136.2493923,1224,2322.53857421875
1695150140.564584,1225,2322.666748046875
1695150149.208659,1227,2322.51025390625
1695150153.52921,1228,2322.525390625
1695150171.0005138,1232,2322.66015625
1695150175.3432586,1233,2322.64501953125
1695150179.7530458,1234,2322.67236328125
1695150188.536707,1236,2322.508056640625
1695150201.51921,1239,2322.48046875
1695150214.575588,1242,2322.64306640625
1695150223.1784053,1244,2322.493408203125
1695150231.847162,1246,2322.28173828125
1695150236.1505294,1247,2322.546875
1695150244.7729795,1249,2322.6708984375
1695150249.0987027,1250,2322.750244140625
1695150262.1736405,1253,2322.546142578125
1695150266.492075,1254,2322.443603515625
1695150270.8040729,1255,2322.42431640625
1695150279.4591103,1257,2322.67822265625
1695150283.7791495,1258,2322.47509765625
1695150288.0779023,1259,2322.484619140625
1695150296.6884775,1261,2322.66845703125
1695150301.021339,1262,2322.389892578125
1695150305.3434155,1263,2322.65185546875
1695150309.671238,1264,2322.492431640625
1695150314.0458047,1265,2322.664794921875
1695150318.3574507,1266,2322.519287109375
1695150339.927552,1271,2322.65673828125
1695150344.2164636,1272,2322.653076171875
1695150352.8693707,1274,2322.617431640625
1695150370.1585436,1278,2322.400634765625
1695150374.4824803,1279,2322.6474609375
1695150383.1118798,1281,2322.6435546875
1695150400.2850919,1285,2322.656982421875
1695150408.8884423,1287,2322.656005859375
1695150417.495688,1289,2322.566162109375
1695150426.0756521,1291,2322.470703125
1695150430.4132013,1292,2322.512451171875
1695150434.7198164,1293,2322.52099609375
1695150439.0464578,1294,2322.41015625
1695150447.676723,1296,2322.5849609375
1695150460.607126,1299,2322.524169921875
1695150464.91702,1300,2322.345947265625
1695150473.5327065,1302,2322.491455078125
1695150477.8357081,1303,2322.487548828125
1695150482.130843,1304,2322.611328125
1695150490.7076986,1306,2322.45556640625
1695150507.8936837,1310,2322.34375
1695150516.5194046,1312,2322.57568359375
1695150520.8410742,1313,2322.418701171875
1695150529.4871392,1315,2322.383544921875
1695150533.833202,1316,2322.42529296875
1695150546.7980082,1319,2322.18603515625
1695150551.1405888,1320,2322.513916015625
1695150572.866355,1325,2322.343017578125
1695150577.1806765,1326,2322.421630859375
1695150581.5499377,1327,2322.5302734375
1695150585.8812542,1328,2322.254638671875
1695150594.5128977,1330,2322.41650390625
1695150603.155244,1332,2322.444091796875
1695150607.515169,1333,2322.485595703125
1695150611.8220973,1334,2322.555419921875
1695150616.1666486,1335,2322.494140625
1695150620.490982,1336,2322.374267578125
1695150624.846576,1337,2322.650146484375
1695150637.8010857,1340,2322.565673828125
1695150650.7451308,1343,2322.559326171875
1695150659.4042122,1345,2322.493408203125
1695150668.094305,1347,2322.2490234375
1695150672.3828082,1348,2322.48193359375
1695150676.6801062,1349,2322.43359375
1695150681.0130818,1350,2322.335693359375
1695150685.3091886,1351,2322.394287109375
1695150702.5563083,1355,2322.653564453125
1695150719.8310707,1359,2322.59765625
1695150728.4571755,1361,2322.51318359375
1695150732.7783256,1362,2322.580078125
1695150745.6888826,1365,2322.457763671875
1695150749.9923947,1366,2322.33056640625
1695150754.3095386,1367,2322.261474609375
1695150767.277635,1370,2322.4189453125
1695150780.297681,1373,2322.544189453125
1695150784.6493368,1374,2322.610595703125
1695150788.9607615,1375,2322.3515625
1695150797.6323369,1377,2322.441650390625
1695150801.9310317,1378,2322.509033203125
1695150806.2620554,1379,2322.586669921875
1695150819.2216876,1382,2322.57861328125
1695150827.8244455,1384,2322.61669921875
1695150832.1731982,1385,2322.41015625
1695150836.5237315,1386,2322.59521484375
1695150840.8404648,1387,2322.59130859375
1695150845.1486523,1388,2322.415771484375
1695150849.4560814,1389,2322.2607421875
1695150858.0934994,1391,2322.320068359375
1695150862.4075425,1392,2322.379638671875
1695150875.3896835,1395,2322.63818359375
1695150897.0564556,1400,2322.486572265625
1695150949.026023,1412,2322.34326171875
1695150953.3624804,1413,2322.435791015625
1695150957.6867433,1414,2322.397216796875
1695150962.020822,1415,2322.39111328125
1695150979.316302,1419,2322.2880859375
1695150992.2837462,1422,2322.44775390625
1695150996.6091487,1423,2322.506591796875
1695151005.2900162,1425,2322.490966796875
1695151009.63832,1426,2322.4912109375
1695151013.949566,1427,2322.331787109375
1695151018.3020883,1428,2322.412841796875
1695151026.9361165,1430,2322.32861328125
1695151035.5487506,1432,2322.521728515625
1695151039.8726985,1433,2322.48974609375
1695151044.1629953,1434,2322.470947265625
1695151052.7602975,1436,2322.328857421875
1695151057.1014595,1437,2322.232421875
1695151061.3913503,1438,2322.5859375
1695151070.0147848,1440,2322.568115234375
1695151078.6541302,1442,2322.44091796875
1695151104.6372058,1448,2322.31787109375
1695151113.2610958,1450,2322.4052734375
1695151135.0775945,1455,2322.600830078125
1695151139.3904157,1456,2322.51806640625
1695151156.753702,1460,2322.502197265625
1695151178.5010338,1465,2322.251220703125
